timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,snap_event_detected,restock_amount,restock_reason
2026-02-12T08:00:00,Avengers Compound,Arc Reactor Cores,982.8561,0.8,False,0.0,
2026-02-12T08:00:00,Avengers Compound,Clean Water (L),2365.1439,1.55,False,0.0,
2026-02-12T08:00:00,Avengers Compound,Medical Kits,794.6031,1.8,False,0.0,
2026-02-12T08:00:00,Avengers Compound,Pym Particles,985.6254,2.41,False,0.0,
2026-02-12T08:00:00,Avengers Compound,Vibranium (kg),4230.291,5.52,False,0.0,
2026-02-12T08:00:00,New Asgard,Arc Reactor Cores,1135.3264,2.55,False,0.0,
2026-02-12T08:00:00,New Asgard,Clean Water (L),4784.8353,2.61,False,0.0,
2026-02-12T08:00:00,New Asgard,Medical Kits,459.0591,1.25,False,0.0,
2026-02-12T08:00:00,New Asgard,Pym Particles,1179.0545,1.19,False,0.0,
2026-02-12T08:00:00,New Asgard,Vibranium (kg),7047.1442,2.9,False,0.0,
2026-02-12T08:00:00,Sanctum Sanctorum,Arc Reactor Cores,710.0486,1.02,False,0.0,
2026-02-12T08:00:00,Sanctum Sanctorum,Clean Water (L),3152.029,6.32,False,0.0,
2026-02-12T08:00:00,Sanctum Sanctorum,Medical Kits,812.0962,1.6,False,0.0,
2026-02-12T08:00:00,Sanctum Sanctorum,Pym Particles,493.7517,1.11,False,0.0,
2026-02-12T08:00:00,Sanctum Sanctorum,Vibranium (kg),7223.846,9.28,False,0.0,
2026-02-12T08:00:00,Sokovia,Arc Reactor Cores,890.0736,1.61,False,0.0,
2026-02-12T08:00:00,Sokovia,Clean Water (L),3044.1884,0.84,False,0.0,
2026-02-12T08:00:00,Sokovia,Medical Kits,962.8334,6.64,False,0.0,
2026-02-12T08:00:00,Sokovia,Pym Particles,1027.1191,1.62,False,0.0,
2026-02-12T08:00:00,Sokovia,Vibranium (kg),4689.581,8.1,False,0.0,
2026-02-12T08:00:00,Wakanda,Arc Reactor Cores,937.5064,1.22,False,0.0,
2026-02-12T08:00:00,Wakanda,Clean Water (L),4247.8814,4.2,False,0.0,
2026-02-12T08:00:00,Wakanda,Medical Kits,699.7555,0.86,False,0.0,
2026-02-12T08:00:00,Wakanda,Pym Particles,1025.7156,1.33,False,0.0,
2026-02-12T08:00:00,Wakanda,Vibranium (kg),4139.7526,0.52,False,0.0,
2026-02-12T09:00:00,Avengers Compound,Arc Reactor Cores,981.6561,1.2,False,0.0,
2026-02-12T09:00:00,Avengers Compound,Clean Water (L),2362.4739,2.67,False,0.0,
2026-02-12T09:00:00,Avengers Compound,Medical Kits,793.2231,1.38,False,0.0,
2026-02-12T09:00:00,Avengers Compound,Pym Particles,984.0154,1.61,False,0.0,
2026-02-12T09:00:00,Avengers Compound,Vibranium (kg),4227.091,3.2,False,0.0,
2026-02-12T09:00:00,New Asgard,Arc Reactor Cores,1134.2964,1.03,False,0.0,
2026-02-12T09:00:00,New Asgard,Clean Water (L),4777.5153,7.32,False,0.0,
2026-02-12T09:00:00,New Asgard,Medical Kits,458.2291,0.83,False,0.0,
2026-02-12T09:00:00,New Asgard,Pym Particles,1178.3545,0.7,False,0.0,
2026-02-12T09:00:00,New Asgard,Vibranium (kg),7041.9642,5.18,False,0.0,
2026-02-12T09:00:00,Sanctum Sanctorum,Arc Reactor Cores,709.1386,0.91,False,0.0,
2026-02-12T09:00:00,Sanctum Sanctorum,Clean Water (L),3147.189,4.84,False,0.0,
