timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,snap_event_detected
2026-01-01T00:00:00,New Asgard,Vibranium (kg),2500.0,6.43,False
2026-01-01T00:00:00,Wakanda,Arc Reactor Cores,800.0,6.13,False
2026-01-01T00:00:00,Sokovia,Pym Particles,800.0,7.39,False
2026-01-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2500.0,5.44,False
2026-01-01T00:00:00,Avengers Compound,Medical Kits,800.0,3.48,False
2026-01-01T00:00:00,New Asgard,Vibranium (kg),2500.0,4.19,False
2026-01-01T00:00:00,Wakanda,Arc Reactor Cores,800.0,4.05,False
2026-01-01T00:00:00,Sokovia,Pym Particles,800.0,6.34,False
2026-01-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2500.0,7.6,False
2026-01-01T00:00:00,Avengers Compound,Medical Kits,800.0,4.99,False
2026-01-01T00:00:00,New Asgard,Vibranium (kg),2500.0,7.52,False
2026-01-01T00:00:00,Wakanda,Arc Reactor Cores,800.0,2.65,False
2026-01-01T00:00:00,Sokovia,Pym Particles,800.0,6.93,False
2026-01-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2500.0,7.11,False
2026-01-01T00:00:00,Avengers Compound,Medical Kits,800.0,7.63,False
2026-01-01T00:00:00,New Asgard,Vibranium (kg),2500.0,6.75,False
2026-01-01T00:00:00,Wakanda,Arc Reactor Cores,800.0,7.53,False
2026-01-01T00:00:00,Sokovia,Pym Particles,800.0,3.86,False
2026-01-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2500.0,5.96,False
2026-01-01T00:00:00,Avengers Compound,Medical Kits,800.0,3.42,False
2026-01-01T00:00:00,New Asgard,Vibranium (kg),2500.0,5.05,False
2026-01-01T00:00:00,Wakanda,Arc Reactor Cores,800.0,2.77,False
2026-01-01T00:00:00,Sokovia,Pym Particles,800.0,3.5,False
2026-01-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2500.0,3.24,False
2026-01-01T00:00:00,Avengers Compound,Medical Kits,800.0,7.72,False
2026-01-01T01:00:00,New Asgard,Vibranium (kg),2492.43,7.57,False
2026-01-01T01:00:00,Wakanda,Arc Reactor Cores,793.97,6.03,False
2026-01-01T01:00:00,Sokovia,Pym Particles,795.47,4.53,False
2026-01-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2497.84,2.16,False
2026-01-01T01:00:00,Avengers Compound,Medical Kits,792.79,7.21,False
2026-01-01T01:00:00,New Asgard,Vibranium (kg),2496.79,3.21,False
2026-01-01T01:00:00,Wakanda,Arc Reactor Cores,792.6,7.4,False
2026-01-01T01:00:00,Sokovia,Pym Particles,794.65,5.35,False
2026-01-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2495.86,4.14,False
2026-01-01T01:00:00,Avengers Compound,Medical Kits,794.11,5.89,False
2026-01-01T01:00:00,New Asgard,Vibranium (kg),2493.29,6.71,False
2026-01-01T01:00:00,Wakanda,Arc Reactor Cores,793.72,6.28,False
2026-01-01T01:00:00,Sokovia,Pym Particles,796.95,3.05,False
2026-01-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2493.56,6.44,False
2026-01-01T01:00:00,Avengers Compound,Medical Kits,794.21,5.79,False
2026-01-01T01:00:00,New Asgard,Vibranium (kg),2494.8,5.2,False
2026-01-01T01:00:00,Wakanda,Arc Reactor Cores,795.2,4.8,False
2026-01-01T01:00:00,Sokovia,Pym Particles,794.54,5.46,False
2026-01-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2494.11,5.89,False
2026-01-01T01:00:00,Avengers Compound,Medical Kits,794.67,5.33,False
2026-01-01T01:00:00,New Asgard,Vibranium (kg),2495.05,4.95,False
2026-01-01T01:00:00,Wakanda,Arc Reactor Cores,794.79,5.21,False
2026-01-01T01:00:00,Sokovia,Pym Particles,796.44,3.56,False
2026-01-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2496.72,3.28,False
2026-01-01T01:00:00,Avengers Compound,Medical Kits,796.91,3.09,False
2026-01-01T02:00:00,New Asgard,Vibranium (kg),2493.45,3.28,False
2026-01-01T02:00:00,Wakanda,Arc Reactor Cores,787.46,6.27,False
2026-01-01T02:00:00,Sokovia,Pym Particles,790.33,4.83,False
2026-01-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2495.95,2.03,False
2026-01-01T02:00:00,Avengers Compound,Medical Kits,793.99,3.0,False
2026-01-01T02:00:00,New Asgard,Vibranium (kg),2494.71,2.64,False
2026-01-01T02:00:00,Wakanda,Arc Reactor Cores,790.07,4.97,False
2026-01-01T02:00:00,Sokovia,Pym Particles,785.88,7.06,False
2026-01-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2487.74,6.13,False
2026-01-01T02:00:00,Avengers Compound,Medical Kits,793.56,3.22,False
2026-01-01T02:00:00,New Asgard,Vibranium (kg),2488.06,5.97,False
2026-01-01T02:00:00,Wakanda,Arc Reactor Cores,789.3,5.35,False
2026-01-01T02:00:00,Sokovia,Pym Particles,787.25,6.37,False
2026-01-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2485.02,7.49,False
2026-01-01T02:00:00,Avengers Compound,Medical Kits,787.2,6.4,False
2026-01-01T02:00:00,New Asgard,Vibranium (kg),2492.67,3.67,False
2026-01-01T02:00:00,Wakanda,Arc Reactor Cores,793.92,3.04,False
2026-01-01T02:00:00,Sokovia,Pym Particles,787.42,6.29,False
2026-01-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2489.96,5.02,False
2026-01-01T02:00:00,Avengers Compound,Medical Kits,784.2,7.9,False
2026-01-01T02:00:00,New Asgard,Vibranium (kg),2484.39,7.8,False
2026-01-01T02:00:00,Wakanda,Arc Reactor Cores,788.95,5.52,False
2026-01-01T02:00:00,Sokovia,Pym Particles,792.36,3.82,False
2026-01-01T02:00:00,Sanctum Sanctorum,Clean Water (L),2495.29,2.35,False
2026-01-01T02:00:00,Avengers Compound,Medical Kits,786.47,6.76,False
2026-01-01T03:00:00,New Asgard,Vibranium (kg),2486.99,4.34,False
2026-01-01T03:00:00,Wakanda,Arc Reactor Cores,787.67,4.11,False
2026-01-01T03:00:00,Sokovia,Pym Particles,784.09,5.3,False
2026-01-01T03:00:00,Sanctum Sanctorum,Clean Water (L),2491.84,2.72,False
2026-01-01T03:00:00,Avengers Compound,Medical Kits,784.96,5.01,False
2026-01-01T03:00:00,New Asgard,Vibranium (kg),2478.91,7.03,False
2026-01-01T03:00:00,Wakanda,Arc Reactor Cores,787.3,4.23,False
2026-01-01T03:00:00,Sokovia,Pym Particles,793.01,2.33,False
2026-01-01T03:00:00,Sanctum Sanctorum,Clean Water (L),2492.83,2.39,False
2026-01-01T03:00:00,Avengers Compound,Medical Kits,784.22,5.26,False
2026-01-01T03:00:00,New Asgard,Vibranium (kg),2491.56,2.81,False
2026-01-01T03:00:00,Wakanda,Arc Reactor Cores,782.53,5.82,False
2026-01-01T03:00:00,Sokovia,Pym Particles,783.39,5.54,False
2026-01-01T03:00:00,Sanctum Sanctorum,Clean Water (L),2486.95,4.35,False
2026-01-01T03:00:00,Avengers Compound,Medical Kits,776.77,7.74,False
2026-01-01T03:00:00,New Asgard,Vibranium (kg),2483.12,5.63,False
2026-01-01T03:00:00,Wakanda,Arc Reactor Cores,790.2,3.27,False
2026-01-01T03:00:00,Sokovia,Pym Particles,787.08,4.31,False
2026-01-01T03:00:00,Sanctum Sanctorum,Clean Water (L),2482.98,5.67,False
2026-01-01T03:00:00,Avengers Compound,Medical Kits,788.05,3.98,False
2026-01-01T03:00:00,New Asgard,Vibranium (kg),2492.54,2.49,False
2026-01-01T03:00:00,Wakanda,Arc Reactor Cores,792.04,2.65,False
2026-01-01T03:00:00,Sokovia,Pym Particles,785.18,4.94,False
2026-01-01T03:00:00,Sanctum Sanctorum,Clean Water (L),2482.37,5.88,False
2026-01-01T03:00:00,Avengers Compound,Medical Kits,789.87,3.38,False
2026-01-01T04:00:00,New Asgard,Vibranium (kg),2471.74,7.07,False
2026-01-01T04:00:00,Wakanda,Arc Reactor Cores,790.88,2.28,False
2026-01-01T04:00:00,Sokovia,Pym Particles,785.55,3.61,False
2026-01-01T04:00:00,Sanctum Sanctorum,Clean Water (L),2486.25,3.44,False
2026-01-01T04:00:00,Avengers Compound,Medical Kits,774.87,6.28,False
2026-01-01T04:00:00,New Asgard,Vibranium (kg),2491.36,2.16,False
2026-01-01T04:00:00,Wakanda,Arc Reactor Cores,784.3,3.92,False
2026-01-01T04:00:00,Sokovia,Pym Particles,784.69,3.83,False
2026-01-01T04:00:00,Sanctum Sanctorum,Clean Water (L),2481.7,4.58,False
2026-01-01T04:00:00,Avengers Compound,Medical Kits,788.29,2.93,False
2026-01-01T04:00:00,New Asgard,Vibranium (kg),2479.02,5.24,False
2026-01-01T04:00:00,Wakanda,Arc Reactor Cores,780.38,4.9,False
2026-01-01T04:00:00,Sokovia,Pym Particles,778.24,5.44,False
2026-01-01T04:00:00,Sanctum Sanctorum,Clean Water (L),2471.09,7.23,False
2026-01-01T04:00:00,Avengers Compound,Medical Kits,768.77,7.81,False
2026-01-01T04:00:00,New Asgard,Vibranium (kg),2468.72,7.82,False
2026-01-01T04:00:00,Wakanda,Arc Reactor Cores,787.47,3.13,False
2026-01-01T04:00:00,Sokovia,Pym Particles,769.6,7.6,False
2026-01-01T04:00:00,Sanctum Sanctorum,Clean Water (L),2473.76,6.56,False
2026-01-01T04:00:00,Avengers Compound,Medical Kits,787.13,3.22,False
2026-01-01T04:00:00,New Asgard,Vibranium (kg),2491.43,2.14,False
2026-01-01T04:00:00,Wakanda,Arc Reactor Cores,770.94,7.26,False
2026-01-01T04:00:00,Sokovia,Pym Particles,781.08,4.73,False
2026-01-01T04:00:00,Sanctum Sanctorum,Clean Water (L),2491.6,2.1,False
2026-01-01T04:00:00,Avengers Compound,Medical Kits,776.39,5.9,False
2026-01-01T05:00:00,New Asgard,Vibranium (kg),2471.87,5.63,False
2026-01-01T05:00:00,Wakanda,Arc Reactor Cores,769.46,6.11,False
2026-01-01T05:00:00,Sokovia,Pym Particles,762.55,7.49,False
2026-01-01T05:00:00,Sanctum Sanctorum,Clean Water (L),2463.12,7.38,False
2026-01-01T05:00:00,Avengers Compound,Medical Kits,764.82,7.04,False
2026-01-01T05:00:00,New Asgard,Vibranium (kg),2488.9,2.22,False
